PMID,Title,DOI_URL
24142987,Associations between arrhythmia episodes and temporally and spatially resolved black carbon and particulate matter in elderly patients.,https://doi.org/10.1136/oemed-2013-101526
33549618,Associations between PM(2.5) metal components and QT interval length in the Normative Aging Study.,https://doi.org/10.1016/j.envres.2021.110827
30826618,"Impacts of air pollution, temperature, and relative humidity on leukocyte distribution: An epigenetic perspective.",https://doi.org/10.1016/j.envint.2019.02.053
20980452,Urinary 8-hydroxy-2'-deoxyguanosine as a biomarker of oxidative DNA damage induced by ambient pollution in the Normative Aging Study.,https://doi.org/10.1136/oem.2010.056358
34171372,Metabolomic signatures of the short-term exposure to air pollution and temperature.,https://doi.org/10.1016/j.envres.2021.111553
,Association between ambient beta particle radioactivity and lower hemoglobin concentrations in a cohort of elderly men,
,Structural equation modeling of parasympathetic and sympathetic response to traffic air pollution in a repeated measures study,
,Medium-term exposure to traffic-related air pollution and markers of inflammation and endothelial function,
33580791,Associations between acute and long-term exposure to PM2.5 components and temperature with QT interval length in the VA Normative Aging Study.,https://doi.org/10.1093/eurjpc/zwaa161
26956024,Ambient particulate matter and microRNAs in extracellular vesicles: a pilot study of older individuals.,https://doi.org/10.1186/s12989-016-0121-0
24385016,"Air pollution and gene-specific methylation in the Normative Aging Study: association, effect modification, and mediation analysis.",https://doi.org/10.4161/epi.27584
24257509,Ambient particulate air pollution and microRNAs in elderly men.,https://doi.org/10.1097/EDE.0000000000000026
34252666,Short-term exposure to PM(2.5) components and renal health: Findings from the Veterans Affairs Normative Aging Study.,https://doi.org/10.1016/j.jhazmat.2021.126557
33413450,Metabolomic signatures of the long-term exposure to air pollution and temperature.,https://doi.org/10.1186/s12940-020-00683-x
23232970,Structural equation modeling of the inflammatory response to traffic air pollution.,https://doi.org/10.1038/jes.2012.106
31336254,Short-term ambient particle radioactivity level and renal function in older men: Insight from the Normative Aging Study.,https://doi.org/10.1016/j.envint.2019.105018
34252666,Short-term exposure to PM(2.5) components and renal health: Findings from the Veterans Affairs Normative Aging Study.,https://doi.org/10.1016/j.jhazmat.2021.126557
25627872,Associations between air pollution and perceived stress: the Veterans Administration Normative Aging Study.,https://doi.org/10.1186/1476-069X-14-10
23257623,Allergen sensitization is associated with increased DNA methylation in older men.,https://doi.org/10.1159/000343004
37847102,Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.,https://doi.org/10.1249/MSS.0000000000003323
24030502,Blood pressure and cognition: factors that may account for their inconsistent association.,https://doi.org/10.1097/EDE.0b013e3182a7121c
24809956,Effects of temperature and relative humidity on DNA methylation.,https://doi.org/10.1097/EDE.0000000000000120
34171372,Metabolomic signatures of the short-term exposure to air pollution and temperature.,https://doi.org/10.1016/j.envres.2021.111553
28001123,Fine-scale spatial and temporal variation in temperature and arrhythmia episodes in the VA Normative Aging Study.,https://doi.org/10.1080/10962247.2016.1252808
34537201,Associations between solar and geomagnetic activity and peripheral white blood cells in the Normative Aging Study.,https://doi.org/10.1016/j.envres.2021.112066
29684737,Lung function association with outdoor temperature and relative humidity and its interaction with air pollution in the elderly.,https://doi.org/10.1016/j.envres.2018.03.039
27236570,Distributional changes in gene-specific methylation associated with temperature.,https://doi.org/10.1016/j.envres.2016.05.034
34713707,Solar Activity Is Associated With Diastolic and Systolic Blood Pressure in Elderly Adults.,https://doi.org/10.1161/JAHA.120.021006
33580791,Associations between acute and long-term exposure to PM2.5 components and temperature with QT interval length in the VA Normative Aging Study.,https://doi.org/10.1093/eurjpc/zwaa161
32832843,Age and mitochondrial DNA copy number influence the association between outdoor temperature and cognitive function: Insights from the VA Normative Aging Study.,https://doi.org/10.1097/EE9.0000000000000108
25238150,Associations between changes in city and address specific temperature and QT interval--the VA Normative Aging Study.,https://doi.org/10.1371/journal.pone.0106258
24709766,Occupational determinants of cumulative lead exposure: analysis of bone lead among men in the VA normative aging study.,https://doi.org/10.1097/JOM.0000000000000127
33413450,Metabolomic signatures of the long-term exposure to air pollution and temperature.,https://doi.org/10.1186/s12940-020-00683-x
28351767,Short-term effects of air temperature and mitochondrial DNA lesions within an older population.,https://doi.org/10.1016/j.envint.2017.03.017
27391696,Cognitive function and short-term exposure to residential air temperature: A repeated measures study based on spatiotemporal estimates of temperature.,https://doi.org/10.1016/j.envres.2016.06.036
27927620,"Ambient Fine Particulate Matter, Outdoor Temperature, and Risk of Metabolic Syndrome.",https://doi.org/10.1093/aje/kww157
30248605,Road proximity influences indoor exposures to ambient fine particle mass and components.,https://doi.org/10.1016/j.envpol.2018.09.046
37847102,Patellar Tendon Load Progression during Rehabilitation Exercises: Implications for the Treatment of Patellar Tendon Injuries.,https://doi.org/10.1249/MSS.0000000000003323
26733571,Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study.,https://doi.org/10.1136/bmjopen-2015-009790
21949417,Optimism in relation to inflammation and endothelial dysfunction in older men: the VA Normative Aging Study.,https://doi.org/10.1097/PSY.0b013e3182312497
27815016,What is unrealistic optimism?,https://doi.org/10.1016/j.concog.2016.10.005
24636503,Pessimistic orientation in relation to telomere length in older men: the VA normative aging study.,https://doi.org/10.1016/j.psyneuen.2014.01.001
22219209,Openness to experience and mortality in men: analysis of trait and facets.,https://doi.org/10.1177/0898264311431303
26721518,Do hassles and uplifts trajectories predict mortality? Longitudinal findings from the VA Normative Aging Study.,https://doi.org/10.1007/s10865-015-9703-9
21961066,Do Stress Trajectories Predict Mortality in Older Men? Longitudinal Findings from the VA Normative Aging Study.,https://doi.org/10.4061/2011/896109
21464364,Healthy psychological functioning and incident coronary heart disease: the importance of self-regulation.,https://doi.org/10.1001/archgenpsychiatry.2011.23
24170714,Emotional Reactivity and Mortality: Longitudinal Findings From the VA Normative Aging Study.,https://doi.org/10.1093/geronb/gbt107
,The long arm of childhood experiences on longevity: testing midlife vulnerability and resilience pathways,
26518259,The effects of daily co-occurrence of affect on older adults' reactivity to health stressors.,https://doi.org/10.1080/08870446.2015.1111368
26436456,Do cherished children age successfully? Longitudinal findings from the Veterans Affairs Normative Aging Study.,https://doi.org/10.1037/pag0000050
