"edgeId","publication","DOI"
"15","Short-term exposure to PM 2.5 components and renal health: findings from the veterans affairs Normative Aging Study","https://doi.org/10.1016/j.jhazmat.2021.126557"
"15","Short-term ambient particle radioactivity level and renal function in older men: insight from the Normative Aging Study","https://doi.org/10.1016/j.envint.2019.105018"
"16","Association between ambient beta particle radioactivity and lower hemoglobin concentrations in a cohort of elderly men","https://doi.org/10.1016/j.envint.2020.105735"
"17","Associations between arrhythmia episodes and temporally and spatially resolved black carbon and particulate matter in elderly patients","https://doi.org/10.1136/oemed-2013-101526"
"18","Short-term exposure to PM 2.5 components and renal health: findings from the veterans affairs Normative Aging Study","https://doi.org/10.1016/j.jhazmat.2021.126557"
"18","Short-term ambient particle radioactivity level and renal function in older men: insight from the Normative Aging Study","https://doi.org/10.1016/j.envint.2019.105018"
"19","Ambient fine particulate matter, outdoor temperature, and risk of metabolic syndrome","https://doi.org/10.1093/aje/kww157"
"20","Ambient pollutants, polymorphisms associated with microrna processing and adhesion molecules: the Normative Aging Study","https://doi.org/10.1186/1476-069x-10-45"
"20","Residential black carbon exposure and circulating markers of systemic inflammation in elderly males: the Normative Aging Study","https://doi.org/10.1289/ehp.1103982"
"20","Medium-term exposure to traffic-related air pollution and markers of inflammation and endothelial function","https://doi.org/10.1289/ehp.1002560"
"20","Structural equation modeling of the inflammatory response to traffic air pollution","https://doi.org/10.1038/jes.2012.106"
"20","Quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability, blood lipids, and biomarkers of inflammation in elderly american men: the Normative Aging Study","https://doi.org/10.1289/ehp.1510044"
"21","Long-term exposure to black carbon and carotid intima-media thickness: the Normative Aging Study","https://doi.org/10.1289/ehp.1104845"
"22","Association of long-term ambient black carbon exposure and oxidative stress allelic variants with intraocular pressure in older men","https://doi.org/10.1001/jamaophthalmol.2018.5313"
"23","Impacts of air pollution, temperature, and relative humidity on leukocyte distribution: an epigenetic perspective","https://doi.org/10.1016/j.envint.2019.02.053"
"24","Quantile regression analysis of the distributional effects of air pollution on blood pressure, heart rate variability, blood lipids, and biomarkers of inflammation in elderly american men: the Normative Aging Study","https://doi.org/10.1289/ehp.1510044"
"25","Long-term effects of traffic particles on lung function decline in the elderly","https://doi.org/10.1164/rccm.201402-0350oc"
"26","Ambient fine particulate matter, outdoor temperature, and risk of metabolic syndrome","https://doi.org/10.1093/aje/kww157"
"27","Metabolomic signatures of the long-term exposure to air pollution and temperature","https://doi.org/10.1186/s12940-020-00683-x"
"27","Ambient PM2.5 species and ultrafine particle exposure and their differential metabolomic signatures","https://doi.org/10.1016/j.envint.2021.106447"
"27","Metabolomic signatures of the short-term exposure to air pollution and temperature","https://doi.org/10.1016/j.envres.2021.111553"
"28","Ambient particulate air pollution and micrornas in elderly men","https://doi.org/10.1097/ede.0000000000000026"
"28","Ambient particulate matter and micrornas in extracellular vesicles: a pilot study of older individuals","https://doi.org/10.1186/s12989-016-0121-0"
"29","Associations of annual ambient fine particulate matter mass and components with mitochondrial DNA abundance","https://doi.org/10.1097/ede.0000000000000717"
"30","Urinary 8-hydroxy-2'-deoxyguanosine as a biomarker of oxidative DNA damage induced by ambient pollution in the Normative Aging Study","https://doi.org/10.1136/oem.2010.056358"
"31","Associations between air pollution and perceived stress: the veterans administration Normative Aging Study","https://doi.org/10.1186/1476-069x-14-10"
"32","Short-term exposure to PM 2.5 components and renal health: findings from the veterans affairs Normative Aging Study","https://doi.org/10.1016/j.jhazmat.2021.126557"
"33","Lifestyle change and high-density lipoprotein change: the us department of veterans affairs Normative Aging Study","https://doi.org/10.1002/clc.21978"
"34","Allergen sensitization is associated with increased DNA methylation in older men","https://doi.org/10.1159/000343004"
"35","Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study","https://doi.org/10.1136/bmjopen-2015-009790"
"36","Allergen sensitization is associated with increased DNA methylation in older men","https://doi.org/10.1159/000343004"
"37","Aging and epigenetics: longitudinal changes in gene-specific DNA methylation","https://doi.org/10.4161/epi.7.1.18749"
"38","Blood pressure and cognition:factors that may account for their inconsistent association","https://doi.org/10.1097/ede.0b013e3182a7121c"
"39","Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the department of veterans affairs Normative Aging Study","https://doi.org/10.1289/ehp.1003279"
"40","Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the department of veterans affairs Normative Aging Study","https://doi.org/10.1289/ehp.1003279"
"41","Lead concentrations in relation to multiple biomarkers of cardiovascular disease: the Normative Aging Study","https://doi.org/10.1289/ehp.1103467"
"42","Lead concentrations in relation to multiple biomarkers of cardiovascular disease: the Normative Aging Study","https://doi.org/10.1289/ehp.1103467"
"43","Metabolomic signatures of lead exposure in the VA Normative Aging Study","https://doi.org/10.1016/j.envres.2020.110022"
"44","Lead exposure, b vitamins, and plasma homocysteine in men 55 years of age and older: the VA Normative Aging Study","https://doi.org/10.1289/ehp.1306931"
"45","Low-level cumulative lead and resistant hypertension: a prospective study of men participating in the veterans affairs Normative Aging Study","https://doi.org/10.1161/jaha.118.010014"
"46","Lead exposure and tremor among older men: the VA Normative Aging Study","https://doi.org/10.1289/ehp.1408535"
"47","Effect of dietary sodium and potassium intake on the mobilization of bone lead among middle-aged and older men: the veterans affairs Normative Aging Study","https://doi.org/10.3390/nu11112750"
"48","Blood DNA methylation biomarkers of cumulative lead exposure in adults","https://doi.org/10.1038/s41370-019-0183-9"
"49","Dietary patterns, bone lead and incident coronary heart disease among middle-aged to elderly men","https://doi.org/10.1016/j.envres.2018.09.035"
"50","Associations of cumulative pb exposure and longitudinal changes in mini-psychological factors status exam scores, global cognition and domains of cognition: the VA Normative Aging Study","https://doi.org/10.1016/j.envres.2016.10.007"
"51","Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the department of veterans affairs Normative Aging Study","https://doi.org/10.1289/ehp.1003279"
"52","Cumulative lead exposure in community-dwelling adults and fine motor function: comparing standard and novel tasks in the VA Normative Aging Study","https://doi.org/10.1016/j.neuro.2013.01.005"
"53","Bone lead levels and risk of incident primary open-angle glaucoma: the VA Normative Aging Study","https://doi.org/10.1289/ehp3442"
"54","Prospective cohort study of lead exposure and electrocardiographic conduction disturbances in the department of veterans affairs Normative Aging Study","https://doi.org/10.1289/ehp.1003279"
"55","Lead concentrations in relation to multiple biomarkers of cardiovascular disease: the Normative Aging Study","https://doi.org/10.1289/ehp.1103467"
"56","Lead concentrations in relation to multiple biomarkers of cardiovascular disease: the Normative Aging Study","https://doi.org/10.1289/ehp.1103467"
"57","Lead exposure and fear-potentiated startle in the VA Normative Aging Study: a pilot study of a novel physiological approach to investigating neurotoxicant effects","https://doi.org/10.1016/j.ntt.2013.04.003"
"58","Cumulative lead exposure is associated with reduced olfactory recognition performance in elderly men: the Normative Aging Study","https://doi.org/10.1016/j.neuro.2015.06.006"
"59","Lead exposure, b vitamins, and plasma homocysteine in men 55 years of age and older: the VA Normative Aging Study","https://doi.org/10.1289/ehp.1306931"
"60","Low-level cumulative lead and resistant hypertension: a prospective study of men participating in the veterans affairs Normative Aging Study","https://doi.org/10.1161/jaha.118.010014"
"61","Lead exposure and tremor among older men: the VA Normative Aging Study","https://doi.org/10.1289/ehp.1408535"
"62","Effect of dietary sodium and potassium intake on the mobilization of bone lead among middle-aged and older men: the veterans affairs Normative Aging Study","https://doi.org/10.3390/nu11112750"
"63","Cholesterol and depressive symptoms in older men across time","https://doi.org/10.1177/2055102915592089"
"64","Relation between high-density lipoprotein cholesterol and survival to age 85 years in men (from the VA Normative Aging Study)","https://doi.org/10.1016/j.amjcard.2010.12.015"
"65","The effects of daily co-occurrence of affect on older adults' reactivity to health stressors","https://doi.org/10.1080/08870446.2015.1111368"
"66","Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study","https://doi.org/10.1136/bmjopen-2015-009790"
"67","Jump, hop, or skip: modeling practice effects in studies of determinants of cognitive change in older adults","https://doi.org/10.1093/aje/kwv212"
"68","Jump, hop, or skip: modeling practice effects in studies of determinants of cognitive change in older adults","https://doi.org/10.1093/aje/kwv212"
"69","The inflammatory potential of dietary manganese in a cohort of elderly men","https://doi.org/10.1007/s12011-017-1127-7"
"70","A western diet pattern is associated with higher concentrations of blood and bone lead among middle-aged and elderly men","https://doi.org/10.3945/jn.117.249060"
"71","A western diet pattern is associated with higher concentrations of blood and bone lead among middle-aged and elderly men","https://doi.org/10.3945/jn.117.249060"
"72","The inflammatory potential of dietary manganese in a cohort of elderly men","https://doi.org/10.1007/s12011-017-1127-7"
"73","Serum tocopherol levels and vitamin e intake are associated with lung function in the Normative Aging Study","https://doi.org/10.1016/j.clnu.2015.01.020"
"73","Dietary anthocyanin intake and age-related decline in lung function: longitudinal findings from the VA Normative Aging Study","https://doi.org/10.3945/ajcn.115.121467"
"74","High-fiber foods reduce periodontal disease progression in men aged 65 and older: the veterans affairs Normative Aging Study/dental longitudinal study","https://doi.org/10.1111/j.1532-5415.2011.03866.x"
"75","Accelerated DNA methylation age and the use of antihypertensive medication among older adults","https://doi.org/10.18632/aging.101626"
"76","Emotional reactivity and mortality: longitudinal findings from the VA Normative Aging Study","https://doi.org/10.1093/geronb/gbt107"
"77","The long arm of childhood experiences on longevity: testing midlife vulnerability and resilience pathways","https://doi.org/10.1037/pag0000394"
"78","Do cherished children age successfully? longitudinal findings from the veterans affairs Normative Aging Study","https://doi.org/10.1037/pag0000050"
"79","Folate network genetic variation predicts cardiovascular disease risk in non-hispanic white males","https://doi.org/10.3945/jn.111.157180"
"80","Influence of multiple APOE genetic variants on cognitive function in a cohort of older men - results from the Normative Aging Study","https://doi.org/10.1186/s12888-014-0223-x"
"80","Long-term exposure to black carbon, cognition and single nucleotide polymorphisms in microrna processing genes in older men","https://doi.org/10.1016/j.envint.2015.12.014"
"81","Iron-processing genotypes, nutrient intakes, and cadmium levels in the Normative Aging Study: evidence of sensitive subpopulations in cadmium risk assessment","https://doi.org/10.1016/j.envint.2018.06.040"
"82","Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study","https://doi.org/10.1136/bmjopen-2015-009790"
"83","Do hassles and uplifts trajectories predict mortality? longitudinal findings from the VA Normative Aging Study","https://doi.org/10.1007/s10865-015-9703-9"
"84","Circulating irisin levels and coronary heart disease: association with future acute coronary syndrome and major adverse cardiovascular events","https://doi.org/10.1038/ijo.2014.101"
"84","Chemerin levels as predictor of acute coronary events: a case-control study nested within the veterans affairs Normative Aging Study","https://doi.org/10.1016/j.metabol.2014.02.013"
"85","Irisin and leptin concentrations in relation to obesity, and developing type 2 diabetes: a cross sectional and a prospective case-control study nested in the Normative Aging Study","https://doi.org/10.1016/j.metabol.2017.10.011"
"86","Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study","https://doi.org/10.1136/bmjopen-2015-009790"
"87","Blood pressure and cognition:factors that may account for their inconsistent association","https://doi.org/10.1097/ede.0b013e3182a7121c"
"88","Blood telomere length attrition and cancer development in the Normative Aging Study cohort","https://doi.org/10.1016/j.ebiom.2015.04.008"
"89","Biomarkers of aging and lung function in the Normative Aging Study","https://doi.org/10.18632/aging.103363"
"90","Psychological factors and DNA methylation of genes related to immune/inflammatory system markers: the VA Normative Aging Study","https://doi.org/10.1136/bmjopen-2015-009790"
"91","Metabolic syndrome and periodontal disease progression in men","https://doi.org/10.1177/0022034516641053"
"92","Metabolic syndrome and periodontal disease progression in men","https://doi.org/10.1177/0022034516641053"
"93","Associations of plasma folate and vitamin b6 with blood DNA methylation age: an analysis of one-carbon metabolites in the VA Normative Aging Study","https://doi.org/10.1093/gerona/glaa257"
"94","Mitochondria and aging in older individuals: an analysis of DNA methylation age metrics, leukocyte telomere length, and mitochondrial DNA copy number in the VA Normative Aging Study","https://doi.org/10.18632/aging.102722"
"95","Mitochondria and aging in older individuals: an analysis of DNA methylation age metrics, leukocyte telomere length, and mitochondrial DNA copy number in the VA Normative Aging Study","https://doi.org/10.18632/aging.102722"
"96","Biomarkers of aging and lung function in the Normative Aging Study","https://doi.org/10.18632/aging.103363"
"97","Occupational determinants of cumulative lead exposure: analysis of bone lead among men in the VA Normative Aging Study","https://doi.org/10.1097/jom.0000000000000127"
"98","Openness to experience and mortality in men: analysis of trait and facets","https://doi.org/10.1177/0898264311431303"
"99","Optimism is not associated with two indicators of DNA methylation aging","https://doi.org/10.18632/aging.102090"
"100","Optimism in relation to inflammation and endothelial dysfunction in older men: the VA Normative Aging Study","https://doi.org/10.1097/psy.0b013e3182312497"
"101","Optimism in relation to inflammation and endothelial dysfunction in older men: the VA Normative Aging Study","https://doi.org/10.1097/psy.0b013e3182312497"
"102","Pessimistic orientation in relation to telomere length in older men: the VA Normative Aging Study","https://doi.org/10.1016/j.psyneuen.2014.01.001"
"103","Pessimistic orientation in relation to telomere length in older men: the VA Normative Aging Study","https://doi.org/10.1016/j.psyneuen.2014.01.001"
"104","Pessimistic orientation in relation to telomere length in older men: the VA Normative Aging Study","https://doi.org/10.1016/j.psyneuen.2014.01.001"
"105","Pessimistic orientation in relation to telomere length in older men: the VA Normative Aging Study","https://doi.org/10.1016/j.psyneuen.2014.01.001"
"106","The long arm of childhood experiences on longevity: testing midlife vulnerability and resilience pathways","https://doi.org/10.1037/pag0000394"
"107","Effects of temperature and relative humidity on DNA methylation","https://doi.org/10.1097/ede.0000000000000120"
"108","Lung function association with outdoor temperature and relative humidity and its interaction with air pollution in the elderly","https://doi.org/10.1016/j.envres.2018.03.039"
"109","Road proximity influences indoor exposures to ambient fine particle mass and components","https://doi.org/10.1016/j.envpol.2018.09.046"
"110","Healthy psychological functioning and incident coronary heart disease: the importance of self-regulation","https://doi.org/10.1001/archgenpsychiatry.2011.23"
"111","Self-reported sleep and beta-amyloid deposition in community-dwelling older adults","https://doi.org/10.1001/jamaneurol.2013.4258"
"112","Smoking-related DNA methylation is associated with DNA methylation phenotypic age acceleration: the veterans affairs Normative Aging Study","https://doi.org/10.3390/ijerph16132356"
"113","Lifestyle change and high-density lipoprotein change: the us department of veterans affairs Normative Aging Study","https://doi.org/10.1002/clc.21978"
"114","Solar activity is associated with diastolic and systolic blood pressure in elderly adults","https://doi.org/10.1161/jaha.120.021006"
"115","Associations between solar and geomagnetic activity and peripheral white blood cells in the Normative Aging Study","https://doi.org/10.1016/j.envres.2021.112066"
"116","Do stress trajectories predict mortality in older men? longitudinal findings from the VA Normative Aging Study","https://doi.org/10.4061/2011/896109"
"117","Distributional changes in gene-specific methylation associated with temperature","https://doi.org/10.1016/j.envres.2016.05.034"
"117","Effects of temperature and relative humidity on DNA methylation","https://doi.org/10.1097/ede.0000000000000120"
"118","Age and mitochondrial DNA copy number influence the association between outdoor temperature and cognitive function: insights from the VA Normative Aging Study","https://doi.org/10.1097/ee9.0000000000000108"
"118","Cognitive function and short-term exposure to residential air temperature: a repeated measures study based on spatiotemporal estimates of temperature","https://doi.org/10.1016/j.envres.2016.06.036"
"119","Associations between changes in city and address specific temperature and qt interval--the VA Normative Aging Study","https://doi.org/10.1371/journal.pone.0106258"
"119","Associations between acute and long-term exposure to PM2.5 components and temperature with qt interval length in the VA Normative Aging Study","https://doi.org/10.1093/eurjpc/zwaa161"
"120","Fine-scale spatial and temporal variation in temperature and arrhythmia episodes in the VA Normative Aging Study","https://doi.org/10.1080/10962247.2016.1252808"
"121","Ambient fine particulate matter, outdoor temperature, and risk of metabolic syndrome","https://doi.org/10.1093/aje/kww157"
"122","Lung function association with outdoor temperature and relative humidity and its interaction with air pollution in the elderly","https://doi.org/10.1016/j.envres.2018.03.039"
"123","Ambient fine particulate matter, outdoor temperature, and risk of metabolic syndrome","https://doi.org/10.1093/aje/kww157"
"124","Metabolomic signatures of the long-term exposure to air pollution and temperature","https://doi.org/10.1186/s12940-020-00683-x"
"124","Metabolomic signatures of the short-term exposure to air pollution and temperature","https://doi.org/10.1016/j.envres.2021.111553"
"125","Short-term effects of air temperature and mitochondrial DNA lesions within an older population","https://doi.org/10.1016/j.envint.2017.03.017"
"126","Serum tocopherol levels and vitamin e intake are associated with lung function in the Normative Aging Study","https://doi.org/10.1016/j.clnu.2015.01.020"
"127","Arsenic exposure and DNA methylation among elderly men","https://doi.org/10.1097/ede.0b013e31825afb0b"
"128","Associations of toenail arsenic, cadmium, mercury, manganese, and lead with blood pressure in the Normative Aging Study","https://doi.org/10.1289/ehp.1002805"
"129","Metabolomic signatures of lead exposure in the VA Normative Aging Study","https://doi.org/10.1016/j.envres.2020.110022"
"130","Individual species and cumulative mixture relationships of 24-hour urine metal concentrations with DNA methylation age variables in older men","https://doi.org/10.1016/j.envres.2020.109573"
